Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Lista_deseos,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida,Vol(ml)_num,Precio/ml
Halloween Man X EDT,Halloween,Colonias para hombres,Hombres,4.63,8,75,24.95,822,EDT,Vaporizador,Oriental,"Café, Cuero, Whisky, Canela, Sales Minerales","Ámbar, Haba Tonka, Incienso","Limón, Lavanda, Cardamomo",75.0,0.33266666666666667
Halloween Man X EDT,Halloween,Colonias para hombres,Hombres,4.63,8,125,31.94,822,EDT,Vaporizador,Oriental,"Café, Cuero, Whisky, Canela, Sales Minerales","Ámbar, Haba Tonka, Incienso","Limón, Lavanda, Cardamomo",125.0,0.25552
Halloween Man X EDT,Halloween,Colonias para hombres,Hombres,4.63,8,200,49.95,822,EDT,Vaporizador,Oriental,"Café, Cuero, Whisky, Canela, Sales Minerales","Ámbar, Haba Tonka, Incienso","Limón, Lavanda, Cardamomo",200.0,0.24975000000000003
Halloween Man X EDT,Halloween,Colonias para hombres,Hombres,4.63,8,75,24.95,822,EDT,Vaporizador,Oriental,"Café, Cuero, Whisky, Canela, Sales Minerales","Ámbar, Haba Tonka, Incienso","Limón, Lavanda, Cardamomo",75.0,0.33266666666666667
Halloween Man X EDT,Halloween,Colonias para hombres,Hombres,4.63,8,125,31.94,822,EDT,Vaporizador,Oriental,"Café, Cuero, Whisky, Canela, Sales Minerales","Ámbar, Haba Tonka, Incienso","Limón, Lavanda, Cardamomo",125.0,0.25552
Halloween Man X EDT,Halloween,Colonias para hombres,Hombres,4.63,8,200,49.95,822,EDT,Vaporizador,Oriental,"Café, Cuero, Whisky, Canela, Sales Minerales","Ámbar, Haba Tonka, Incienso","Limón, Lavanda, Cardamomo",200.0,0.24975000000000003
Aramis EDT,Aramis,Colonias para hombres,Hombres,4.88,8,110 ml,19.19,,EDT,Vaporizador,Amaderada Chipre,"Jazmín, Cardamomo, Raíz de Lirio","Ámbar, Musgo de Roble, Madera, Coco, Lavanda","Tomillo, Mirra, Trébol Blanco, Cuero",,
Perfume Sólido en Barra,Le Due Make Up,Perfumes de Mujer,Mujer,5.0,1,01 Fraise,1.0,129,Parfum,Stick / Barra,,,,,,
Perfume Sólido en Barra,Le Due Make Up,Perfumes de Mujer,Mujer,5.0,1,02 Violet,1.0,129,Parfum,Stick / Barra,,,,,,
Perfume Sólido en Barra,Le Due Make Up,Perfumes de Mujer,Mujer,5.0,1,03 Pomme,1.0,129,Parfum,Stick / Barra,,,,,,
Perfume Sólido en Barra,Le Due Make Up,Perfumes de Mujer,Unisex,5.0,1,04 Vanille,1.0,129,Parfum,Stick / Barra,,,,,,
