Nombre,Marca,Tipo,Sexo,Rating/5,Reviews,Vol(ml),Precio,Lista_deseos,Concentracion,Formato,Fam_olfativa,Notas_Corazon,Notas_Fondo,Notas_salida,Vol(ml)_num,Precio/ml
Very Good Girl EDP,Carolina Herrera,Perfumes de Mujer,Mujer,5.0,9,50,79.95,2000,EDP,Vaporizador,Floral Frutal,Rosa,"Vainilla, Vetiver","Lichi, Grosella Roja",50.0,1.599
Very Good Girl EDP,Carolina Herrera,Perfumes de Mujer,Mujer,5.0,9,80,99.94,2000,EDP,Vaporizador,Floral Frutal,Rosa,"Vainilla, Vetiver","Lichi, Grosella Roja",80.0,1.24925
Very Good Girl EDP,Carolina Herrera,Perfumes de Mujer,Mujer,5.0,9,150,129.94,2000,EDP,Vaporizador,Floral Frutal,Rosa,"Vainilla, Vetiver","Lichi, Grosella Roja",150.0,0.8662666666666666
Very Good Girl EDP,Carolina Herrera,Perfumes de Mujer,Mujer,5.0,9,30,54.95,2000,EDP,Vaporizador,Floral Frutal,Rosa,"Vainilla, Vetiver","Lichi, Grosella Roja",30.0,1.8316666666666668
Very Good Girl EDP,Carolina Herrera,Perfumes de Mujer,Mujer,5.0,9,50,79.95,2000,EDP,Vaporizador,Floral Frutal,Rosa,"Vainilla, Vetiver","Lichi, Grosella Roja",50.0,1.599
Very Good Girl EDP,Carolina Herrera,Perfumes de Mujer,Mujer,5.0,9,80,99.94,2000,EDP,Vaporizador,Floral Frutal,Rosa,"Vainilla, Vetiver","Lichi, Grosella Roja",80.0,1.24925
Very Good Girl EDP,Carolina Herrera,Perfumes de Mujer,Mujer,5.0,9,150,129.94,2000,EDP,Vaporizador,Floral Frutal,Rosa,"Vainilla, Vetiver","Lichi, Grosella Roja",150.0,0.8662666666666666
Armani Code Eau de Toilette Cofre Regalo,Armani,Cofres de perfumes para hombre,Hombres,,,EDT 125 ml + Travel Spray,73.84,195,EDT,Pack de productos / Set / Cofre,,,,,,
Armani Code Eau de Toilette Cofre Regalo,Armani,Cofres de perfumes para hombre,Hombres,,,EDT 125 ml + Gel 75 ml + Mini,75.94,195,EDT,Pack de productos / Set / Cofre,,,,,,
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,50,58.95,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",50.0,1.179
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,100,78.95,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",100.0,0.7895
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,150,93.95,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",150.0,0.6263333333333333
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,200,95.94,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",200.0,0.4797
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,50,58.95,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",50.0,1.179
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,100,78.95,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",100.0,0.7895
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,150,93.95,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",150.0,0.6263333333333333
Scandal pour Homme EDT,Jean Paul Gaultier,Colonias para hombres,Hombres,4.83,12,200,95.94,1000,EDT,Vaporizador,Amaderado Ámbar,"Haba Tonka, Caramelo",Vetiver,"Mandarina, Esclarea",200.0,0.4797
